Food code,Food description
11000000,"The image shows the food category of milk, human."
11100000,"The image shows the food category of milk, not further specified subcategory assigned."
11111000,"The image shows the food category of milk, whole. Additional details include 3.5% or 3.8% fat milk; leche fresca."
11112110,"The image shows the food category of milk, reduced fat (2%). Additional details include hi-Protein milk; fortified milk; 1.5% fat milk."
11112210,"The image shows the food category of milk, low fat (1%)."
11113000,"The image shows the food category of milk, fat free (skim). Additional details include nonfat milk; 0.5% or less fat."
11114300,"The image shows the food category of milk, lactose free, low fat (1%). Additional details include lactaid; Lactaid, not specified subcategory as to fat content; lactose reduced."
11114320,"The image shows the food category of milk, lactose free, fat free (skim). Additional details include lactaid; nonfat milk; lactose reduced."
11114330,"The image shows the food category of milk, lactose free, reduced fat (2%). Additional details include lactaid; lactose reduced."
11114350,"The image shows the food category of milk, lactose free, whole. Additional details include lactaid whole milk; lactose reduced."
11115000,"The image shows the food category of buttermilk, fat free (skim). Additional details include nonfat buttermilk."
11115300,"The image shows the food category of buttermilk, whole."
11115400,"The image shows the food category of kefir, not specified subcategory as to fat content. Additional details include fermented milk drink; plain; all flavors; Yukult."
11116000,"The image shows the food category of goat's milk, whole."
11120000,"The image shows the food category of milk, dry, reconstituted, not specified subcategory as to fat content."
11121100,"The image shows the food category of milk, dry, reconstituted, whole."
11121210,"The image shows the food category of milk, dry, reconstituted, low fat (1%)."
11121300,"The image shows the food category of milk, dry, reconstituted, fat free (skim). Additional details include nonfat milk."
11210050,"The image shows the food category of milk, evaporated, not specified subcategory as to fat content."
11211050,"The image shows the food category of milk, evaporated, whole."
11211400,"The image shows the food category of milk, evaporated, reduced fat (2%)."
11212050,"The image shows the food category of milk, evaporated, fat free (skim). Additional details include nonfat milk."
11220000,"The image shows the food category of milk, condensed, sweetened."
11300100,"The image shows the food category of non-dairy milk, not further specified subcategory assigned."
11320000,The image shows the food category of soy milk. Additional details include edensoy; vanilla flavored; Silk; West Soy; Soymilk; not specified subcategory as to type; Vitasoy.
11320100,"The image shows the food category of soy milk, light. Additional details include vanilla flavored; Silk; Vitasoy; West Soy; Soymilk."
11320200,"The image shows the food category of soy milk, nonfat. Additional details include vanilla flavored; West Soy; Soymilk."
11321000,"The image shows the food category of soy milk, chocolate. Additional details include silk; Belsoy; Soymilk."
11321100,"The image shows the food category of soy milk, light, chocolate. Additional details include silk; Vitasoy; Soymilk."
11350000,"The image shows the food category of almond milk, sweetened. Additional details include vanilla flavored; not specified subcategory as to sweetened; cashew."
11350010,"The image shows the food category of almond milk, sweetened, chocolate. Additional details include not specified subcategory as to sweetened; cashew."
11350020,"The image shows the food category of almond milk, unsweetened. Additional details include unsweetened vanilla; flavors other than chocolate; cashew."
11350030,"The image shows the food category of almond milk, unsweetened, chocolate. Additional details include blue Diamond Almond Breeze; Silk PureAlmond; Almond Dream."
11360000,The image shows the food category of rice milk. Additional details include rice Dream beverage.
11370000,The image shows the food category of coconut milk. Additional details include silk PureCoconut beverage; So Delicious.
11400000,"The image shows the food category of yogurt, not further specified subcategory assigned."
11400010,"The image shows the food category of yogurt, Greek, not specified subcategory as to type of milk or flavor."
11410000,"The image shows the food category of yogurt, not specified subcategory as to type of milk or flavor."
11411010,"The image shows the food category of yogurt, not specified subcategory as to type of milk, plain."
11411100,"The image shows the food category of yogurt, whole milk, plain."
11411200,"The image shows the food category of yogurt, low fat milk, plain. Additional details include 1% fat; 2% fat; 99% fat free; light."
11411300,"The image shows the food category of yogurt, nonfat milk, plain. Additional details include 0% fat; fat free; light; light, not further specified subcategory assigned."
