Food code,Seq num,Portion code,Portion weight,Start date,End date
11000000,1,10205,246,"01/01/19 00:00:00","12/31/20 00:00:00"
11000000,2,90000,0,"01/01/19 00:00:00","12/31/20 00:00:00"
11000000,3,30000,30.8,"01/01/19 00:00:00","12/31/20 00:00:00"
11100000,1,10205,244,"01/01/19 00:00:00","12/31/20 00:00:00"
11100000,2,30000,30.5,"01/01/19 00:00:00","12/31/20 00:00:00"
11100000,3,64294,244,"01/01/19 00:00:00","12/31/20 00:00:00"
11100000,4,63480,2.5,"01/01/19 00:00:00","12/31/20 00:00:00"
11100000,5,63546,61,"01/01/19 00:00:00","12/31/20 00:00:00"
11100000,6,90000,244,"01/01/19 00:00:00","12/31/20 00:00:00"
11111000,1,10205,244,"01/01/19 00:00:00","12/31/20 00:00:00"
11111000,2,30000,30.5,"01/01/19 00:00:00","12/31/20 00:00:00"
11111000,3,64294,244,"01/01/19 00:00:00","12/31/20 00:00:00"
11111000,4,63480,2.5,"01/01/19 00:00:00","12/31/20 00:00:00"
11111000,5,63546,61,"01/01/19 00:00:00","12/31/20 00:00:00"
11111000,6,90000,244,"01/01/19 00:00:00","12/31/20 00:00:00"
11112110,1,10205,244,"01/01/19 00:00:00","12/31/20 00:00:00"
11112110,2,30000,30.5,"01/01/19 00:00:00","12/31/20 00:00:00"
11112110,3,64294,244,"01/01/19 00:00:00","12/31/20 00:00:00"
11112110,4,63480,2.5,"01/01/19 00:00:00","12/31/20 00:00:00"
11112110,5,63546,61,"01/01/19 00:00:00","12/31/20 00:00:00"
11112110,6,90000,244,"01/01/19 00:00:00","12/31/20 00:00:00"
11112210,1,10205,244,"01/01/19 00:00:00","12/31/20 00:00:00"
11112210,2,30000,30.5,"01/01/19 00:00:00","12/31/20 00:00:00"
11112210,3,64294,244,"01/01/19 00:00:00","12/31/20 00:00:00"
11112210,4,63480,2.5,"01/01/19 00:00:00","12/31/20 00:00:00"
11112210,5,63546,61,"01/01/19 00:00:00","12/31/20 00:00:00"
11112210,6,90000,244,"01/01/19 00:00:00","12/31/20 00:00:00"
11113000,1,10205,244,"01/01/19 00:00:00","12/31/20 00:00:00"
11113000,2,30000,30.5,"01/01/19 00:00:00","12/31/20 00:00:00"
11113000,3,64294,244,"01/01/19 00:00:00","12/31/20 00:00:00"
11113000,4,63480,2.5,"01/01/19 00:00:00","12/31/20 00:00:00"
11113000,5,63546,61,"01/01/19 00:00:00","12/31/20 00:00:00"
11113000,6,90000,244,"01/01/19 00:00:00","12/31/20 00:00:00"
11114300,1,10205,244,"01/01/19 00:00:00","12/31/20 00:00:00"
11114300,2,30000,30.5,"01/01/19 00:00:00","12/31/20 00:00:00"
11114300,3,63480,2.5,"01/01/19 00:00:00","12/31/20 00:00:00"
11114300,4,63546,61,"01/01/19 00:00:00","12/31/20 00:00:00"
11114300,5,90000,244,"01/01/19 00:00:00","12/31/20 00:00:00"
11114320,1,10205,244,"01/01/19 00:00:00","12/31/20 00:00:00"
11114320,2,30000,30.5,"01/01/19 00:00:00","12/31/20 00:00:00"
11114320,3,63480,2.5,"01/01/19 00:00:00","12/31/20 00:00:00"
11114320,4,63546,61,"01/01/19 00:00:00","12/31/20 00:00:00"
11114320,5,90000,244,"01/01/19 00:00:00","12/31/20 00:00:00"
11114330,1,10205,244,"01/01/19 00:00:00","12/31/20 00:00:00"
11114330,2,30000,30.5,"01/01/19 00:00:00","12/31/20 00:00:00"
11114330,3,63480,2.5,"01/01/19 00:00:00","12/31/20 00:00:00"
11114330,4,63546,61,"01/01/19 00:00:00","12/31/20 00:00:00"
11114330,5,90000,244,"01/01/19 00:00:00","12/31/20 00:00:00"
11114350,1,10205,244,"01/01/19 00:00:00","12/31/20 00:00:00"
11114350,2,30000,30.5,"01/01/19 00:00:00","12/31/20 00:00:00"
11114350,3,63480,2.5,"01/01/19 00:00:00","12/31/20 00:00:00"
11114350,4,63546,61,"01/01/19 00:00:00","12/31/20 00:00:00"
11114350,5,90000,244,"01/01/19 00:00:00","12/31/20 00:00:00"
11115000,1,10205,244,"01/01/19 00:00:00","12/31/20 00:00:00"
11115000,2,30000,30.5,"01/01/19 00:00:00","12/31/20 00:00:00"
11115000,3,63480,2.6,"01/01/19 00:00:00","12/31/20 00:00:00"
11115000,4,63546,61,"01/01/19 00:00:00","12/31/20 00:00:00"
11115000,5,90000,244,"01/01/19 00:00:00","12/31/20 00:00:00"
11115300,1,10205,244,"01/01/19 00:00:00","12/31/20 00:00:00"
11115300,2,30000,30.5,"01/01/19 00:00:00","12/31/20 00:00:00"
11115300,3,63480,2.6,"01/01/19 00:00:00","12/31/20 00:00:00"
11115300,4,63546,61,"01/01/19 00:00:00","12/31/20 00:00:00"
11115300,5,90000,244,"01/01/19 00:00:00","12/31/20 00:00:00"
11115400,1,10205,244,"01/01/19 00:00:00","12/31/20 00:00:00"
11115400,2,30000,30.5,"01/01/19 00:00:00","12/31/20 00:00:00"
11115400,3,90000,244,"01/01/19 00:00:00","12/31/20 00:00:00"
11116000,1,10205,244,"01/01/19 00:00:00","12/31/20 00:00:00"
11116000,2,30000,30.5,"01/01/19 00:00:00","12/31/20 00:00:00"
11116000,3,63480,2.5,"01/01/19 00:00:00","12/31/20 00:00:00"
11116000,4,63546,61,"01/01/19 00:00:00","12/31/20 00:00:00"
11116000,5,90000,244,"01/01/19 00:00:00","12/31/20 00:00:00"
11120000,1,10205,244,"01/01/19 00:00:00","12/31/20 00:00:00"
11120000,2,30000,30.5,"01/01/19 00:00:00","12/31/20 00:00:00"
11120000,3,63480,2.5,"01/01/19 00:00:00","12/31/20 00:00:00"
11120000,4,63546,61,"01/01/19 00:00:00","12/31/20 00:00:00"
11120000,5,90000,244,"01/01/19 00:00:00","12/31/20 00:00:00"
11121100,1,10205,244,"01/01/19 00:00:00","12/31/20 00:00:00"
11121100,2,30000,30.5,"01/01/19 00:00:00","12/31/20 00:00:00"
11121100,3,63480,2.5,"01/01/19 00:00:00","12/31/20 00:00:00"
11121100,4,63546,61,"01/01/19 00:00:00","12/31/20 00:00:00"
11121100,5,90000,244,"01/01/19 00:00:00","12/31/20 00:00:00"
11121210,1,10205,244,"01/01/19 00:00:00","12/31/20 00:00:00"
11121210,2,30000,30.5,"01/01/19 00:00:00","12/31/20 00:00:00"
11121210,3,63480,2.5,"01/01/19 00:00:00","12/31/20 00:00:00"
11121210,4,63546,61,"01/01/19 00:00:00","12/31/20 00:00:00"
11121210,5,90000,244,"01/01/19 00:00:00","12/31/20 00:00:00"
11121300,1,10205,244,"01/01/19 00:00:00","12/31/20 00:00:00"
11121300,2,30000,30.5,"01/01/19 00:00:00","12/31/20 00:00:00"
11121300,3,63480,2.5,"01/01/19 00:00:00","12/31/20 00:00:00"
11121300,4,63546,61,"01/01/19 00:00:00","12/31/20 00:00:00"
11121300,5,90000,244,"01/01/19 00:00:00","12/31/20 00:00:00"
11210050,1,10205,252,"01/01/19 00:00:00","12/31/20 00:00:00"
11210050,2,30000,31.5,"01/01/19 00:00:00","12/31/20 00:00:00"
11210050,3,90000,16,"01/01/19 00:00:00","12/31/20 00:00:00"
11210050,4,63480,2.6,"01/01/19 00:00:00","12/31/20 00:00:00"
11210050,5,90002,126,"01/01/19 00:00:00","12/31/20 00:00:00"
11210050,6,90005,16,"01/01/19 00:00:00","12/31/20 00:00:00"
11211050,1,10205,252,"01/01/19 00:00:00","12/31/20 00:00:00"
11211050,2,30000,31.5,"01/01/19 00:00:00","12/31/20 00:00:00"
11211050,3,90000,16,"01/01/19 00:00:00","12/31/20 00:00:00"
11211050,4,63480,2.6,"01/01/19 00:00:00","12/31/20 00:00:00"
11211050,5,90002,126,"01/01/19 00:00:00","12/31/20 00:00:00"
11211050,6,90005,16,"01/01/19 00:00:00","12/31/20 00:00:00"
11211400,1,10205,252,"01/01/19 00:00:00","12/31/20 00:00:00"
11211400,2,30000,31.5,"01/01/19 00:00:00","12/31/20 00:00:00"
11211400,6,90005,16,"01/01/19 00:00:00","12/31/20 00:00:00"
11211400,7,90002,126,"01/01/19 00:00:00","12/31/20 00:00:00"
11211400,8,90000,16,"01/01/19 00:00:00","12/31/20 00:00:00"
11212050,1,10205,252,"01/01/19 00:00:00","12/31/20 00:00:00"
11212050,2,30000,31.5,"01/01/19 00:00:00","12/31/20 00:00:00"
11212050,3,90000,16,"01/01/19 00:00:00","12/31/20 00:00:00"
11212050,4,63480,2.6,"01/01/19 00:00:00","12/31/20 00:00:00"
11212050,5,90002,126,"01/01/19 00:00:00","12/31/20 00:00:00"
11212050,6,90005,16,"01/01/19 00:00:00","12/31/20 00:00:00"
11220000,1,10205,304,"01/01/19 00:00:00","12/31/20 00:00:00"
11220000,2,30000,38,"01/01/19 00:00:00","12/31/20 00:00:00"
