Food code,Main Food description,Rank,Rank 2011-2012,Rank 2013-2014,Rank 2015-2016,Rank 2017 Pre-pandemic
94000100,"The image shows the food category of water, tap. Additional details include filtered tap water; well water; water fountain.",0,1.0,1.0,1.0,2.0
94100100,"The image shows the food category of water, bottled, plain. Additional details include alkaline water.",1,2.0,2.0,2.0,1.0
92101000,"The image shows the food category of coffee, brewed. Additional details include coffee, brewed, not specified subcategory as to regular or decaffeinated; coffee singles, bags, pods, or K-cups.",2,4.0,3.0,3.0,3.0
11112110,"The image shows the food category of milk, reduced fat (2%). Additional details include hi-Protein milk; fortified milk; 1.5% fat milk.",3,3.0,4.0,4.0,6.0
11111000,"The image shows the food category of milk, whole. Additional details include 3.5% or 3.8% fat milk; leche fresca.",4,5.0,6.0,5.0,4.0
91101010,"The image shows the food category of sugar, white, granulated or lump. Additional details include sugar, white, not specified subcategory as to granulated or confectioner's.",5,6.0,5.0,6.0,5.0
92410310,"The image shows the food category of soft drink, cola. Additional details include coca Cola; Coke; Pepsi; RC Cola; not specified subcategory as to caffeine; Pepsi Throwback.",6,7.0,7.0,7.0,8.0
63107010,"The image shows the food category of banana, raw.",7,9.0,10.0,8.0,9.0
75113000,"The image shows the food category of lettuce, raw. Additional details include lettuce, not further specified subcategory assigned; iceberg.",8,8.0,8.0,9.0,13.0
74401010,The image shows the food category of ketchup. Additional details include catsup.,9,10.0,11.0,13.0,7.0
74101000,"The image shows the food category of tomatoes, raw. Additional details include plum and Italian tomatoes.",10,11.0,9.0,10.0,15.0
63101000,"The image shows the food category of apple, raw. Additional details include apple, not further specified subcategory assigned.",11,13.0,12.0,11.0,11.0
92410510,"The image shows the food category of soft drink, fruit flavored, caffeine free. Additional details include cherry, grape, lemon, lime, orange, strawberry; Tom Collins mixer; 7-Up; Sprite; Slice; caffeine free Mountain Dew; 7-Up, not specified subcategory as to caffeine; Squirt; Orange Crush; Citra; Sierra Mist; fruit flavored soda, all types; Fanta; Tropicana Twister Soda.",12,12.0,16.0,12.0,12.0
71401030,"The image shows the food category of potato, french fries, fast food.",13,16.0,13.0,18.0,14.0
83107000,"The image shows the food category of mayonnaise, regular. Additional details include mayonnaise, not further specified subcategory assigned.",14,21.0,17.0,21.0,10.0
51101000,"The image shows the food category of bread, white. Additional details include diet sliced or very thin sliced; English muffin bread; pre-sliced, commercial; pretzel bun.",15,15.0,14.0,14.0,25.0
14410110,"The image shows the food category of cheese, American.",16,14.0,15.0,15.0,33.0
11112210,"The image shows the food category of milk, low fat (1%).",17,17.0,21.0,16.0,18.0
64104010,"The image shows the food category of apple juice, 100%. Additional details include mott's; Musselman's; Simply Apple; Seneca; Apple and Eve; store brands.",18,22.0,24.0,20.0,20.0
56205008,"The image shows the food category of rice, white, cooked, no added fat. Additional details include basmati or jasmine rice.",19,20.0,23.0,19.0,21.0
75506010,The image shows the food category of mustard.,20,25.0,34.0,40.0,17.0
92530610,"The image shows the food category of fruit juice drink, with high vitamin C. Additional details include hi-C; Hawaiian Punch; Ssips; Apple & Eve juice drinks; Florida's Naturals juice cocktails; Kool-Aid Jammers; Minute Maid; Ocean Spray juice drink or cocktail, flavors other than cranberry; Tropicana Twister, all flavors except lemonade; Tropicana Lemonade, chilled carton; Welch's fruit juice cocktails; fruit punch, not further specified subcategory assigned; Tropicana fruit punch; not specified subcategory as to 100% juice; not specified subcategory as to brand; Minute Maid Coolers.",21,31.0,20.0,33.0,22.0
63123000,"The image shows the food category of grapes, raw.",22,38.0,28.0,22.0,23.0
61210220,"The image shows the food category of orange juice, 100%, canned, bottled or in a carton. Additional details include minute Maid; Tropicana; Florida's Natural; Donald Duck; store brand; ready to drink; Simply Orange.",23,28.0,29.0,23.0,37.0
61119010,"The image shows the food category of orange, raw. Additional details include orange, not further specified subcategory assigned.",24,34.0,38.0,25.0,27.0
74402150,"The image shows the food category of salsa, red. Additional details include creole or picante sauce; fruit.",25,26.0,19.0,17.0,121.0
51301010,"The image shows the food category of bread, wheat or cracked wheat. Additional details include honey wheat; Roman Meal, not further specified subcategory assigned; wheatberry; crushed wheat; spelt bread; pre-sliced, commercial; buckwheat; wheat bran; wheat germ; branola; granola; honey bran.",26,23.0,25.0,31.0,58.0
53206000,"The image shows the food category of cookie, chocolate chip. Additional details include with nuts; Pepperidge Farm Chocolate Chunk; Nabisco Mini Chips Ahoy!; Nabisco Chips Ahoy!; Grandma; Keebler Rainbow Chips Deluxe; Subway chocolate chip cookie; McDonald's chocolate chip cookie; white chocolate.",27,33.0,42.0,29.0,26.0
73101010,"The image shows the food category of carrots, raw.",28,39.0,31.0,30.0,35.0
14104100,"The image shows the food category of cheese, Cheddar. Additional details include coon; sharp cheese; Tillamook; Hoop; Pioneer; New York; Wisconsin; Longhorn.",29,45.0,30.0,28.0,36.0
75117020,"The image shows the food category of onions, raw. Additional details include red onions; onions, not further specified subcategory assigned.",30,37.0,26.0,37.0,41.0
13110100,"The image shows the food category of ice cream, vanilla. Additional details include other flavors; swirl; in a cup; scoop.",31,30.0,33.0,24.0,64.0
81101000,"The image shows the food category of butter, stick. Additional details include pat.",32,47.0,41.0,35.0,29.0
92410320,"The image shows the food category of soft drink, cola, diet. Additional details include diet Coke; Diet Pepsi; Tab; Coke Zero; Pepsi One; not specified subcategory as to caffeine; Pepsi Max; sugar free.",33,35.0,35.0,39.0,44.0
92103000,"The image shows the food category of coffee, instant, reconstituted. Additional details include powdered mix; not specified subcategory as to regular or decaffeinated; made from liquid concentrate.",34,41.0,47.0,36.0,31.0
