FoodCode,FC_Description,Image,Link,Portion,PortionCode,PortionSubCode,Multiplier,Category,Category Description,ModCode,Display,ImgDescription,ImgTitle,ImageType
11000000,"Milk, human",042108425.png,/home/lian/data/ASA24/Asa24PortionImages/042108425.png,2 teaspoons,10205,0,0.417,BMI1,Breast Milk Multi-Ingredient,0.0,Angled,"Cream substitute, powdered","Coffee creamer (powdered), 2 teaspoons",PORTION
11000000,"Milk, human",041008401.png,/home/lian/data/ASA24/Asa24PortionImages/041008401.png,6 tablespoons,10205,0,0.375,BMI1,Breast Milk Multi-Ingredient,0.0,Angled,"Cream, light, fluid","Coffee cream, 6 tablespoons",PORTION
11000000,"Milk, human",041008402.png,/home/lian/data/ASA24/Asa24PortionImages/041008402.png,5 tablespoons,10205,0,0.3125,BMI1,Breast Milk Multi-Ingredient,0.0,Angled,"Cream, light, fluid","Coffee cream, 5 tablespoons",PORTION
11000000,"Milk, human",041008403.png,/home/lian/data/ASA24/Asa24PortionImages/041008403.png,4 tablespoons,10205,0,0.25,BMI1,Breast Milk Multi-Ingredient,0.0,Angled,"Cream, light, fluid","Coffee cream, 4 tablespoons",PORTION
11000000,"Milk, human",041008404.png,/home/lian/data/ASA24/Asa24PortionImages/041008404.png,3 tablespoons,10205,0,0.1875,BMI1,Breast Milk Multi-Ingredient,0.0,Angled,"Cream, light, fluid","Coffee cream, 3 tablespoons",PORTION
11000000,"Milk, human",041008405.png,/home/lian/data/ASA24/Asa24PortionImages/041008405.png,2 tablespoons,10205,0,0.125,BMI1,Breast Milk Multi-Ingredient,0.0,Angled,"Cream, light, fluid","Coffee cream, 2 tablespoons",PORTION
11000000,"Milk, human",041008406.png,/home/lian/data/ASA24/Asa24PortionImages/041008406.png,1 tablespoon,10205,0,0.063,BMI1,Breast Milk Multi-Ingredient,0.0,Angled,"Cream, light, fluid","Coffee cream, 1 tablespoon",PORTION
11000000,"Milk, human",042108426.png,/home/lian/data/ASA24/Asa24PortionImages/042108426.png,1 teaspoon,10205,0,0.021,BMI1,Breast Milk Multi-Ingredient,0.0,Angled,"Cream substitute, powdered","Coffee creamer (powdered), 1 teaspoon",PORTION
11100000,"Milk, NFS",121807129.png,/home/lian/data/ASA24/Asa24PortionImages/121807129.png,2 cups,10205,0,2.0,MIL,Milk,0.0,Aerial,"Milk, NFS","Beverage, 2 cups, glass measuring cup, Milk, NFS",PORTION
11100000,"Milk, NFS",121807128.png,/home/lian/data/ASA24/Asa24PortionImages/121807128.png,1-1/2 cups,10205,0,1.5,MIL,Milk,0.0,Aerial,"Milk, NFS","Beverage, 1 1/2 cups, glass measuring cup, Milk, NFS",PORTION
11100000,"Milk, NFS",121807127.png,/home/lian/data/ASA24/Asa24PortionImages/121807127.png,1 cup,10205,0,1.0,MIL,Milk,0.0,Aerial,"Milk, NFS","Beverage, 1 cup, glass measuring cup, Milk, NFS",PORTION
11100000,"Milk, NFS",121807126.png,/home/lian/data/ASA24/Asa24PortionImages/121807126.png,3/4 cup,10205,0,0.75,MIL,Milk,0.0,Aerial,"Milk, NFS","Beverage, 3/4 cup, glass measuring cup, Milk, NFS",PORTION
11100000,"Milk, NFS",121807125.png,/home/lian/data/ASA24/Asa24PortionImages/121807125.png,1/2 cup,10205,0,0.5,MIL,Milk,0.0,Aerial,"Milk, NFS","Beverage, 1/2 cup, glass measuring cup, Milk, NFS",PORTION
11100000,"Milk, NFS",121807124.png,/home/lian/data/ASA24/Asa24PortionImages/121807124.png,1/4 cup,10205,0,0.25,MIL,Milk,0.0,Aerial,"Milk, NFS","Beverage, 1/4 cup, glass measuring cup, Milk, NFS",PORTION
11100000,"Milk, NFS",121807122.png,/home/lian/data/ASA24/Asa24PortionImages/121807122.png,2 tablespoons,10205,0,0.125,MIL,Milk,0.0,Aerial,"Milk, NFS","Beverage, 2 tablespoons, measuring spoon, Milk, NFS",PORTION
11100000,"Milk, NFS",121807120.png,/home/lian/data/ASA24/Asa24PortionImages/121807120.png,1 tablespoon,10205,0,0.0625,MIL,Milk,0.0,Aerial,"Milk, NFS","Beverage, 1 tablespoon, measuring spoon, Milk, NFS",PORTION
11111000,"Milk, cow's, fluid, whole",121807129.png,/home/lian/data/ASA24/Asa24PortionImages/121807129.png,2 cups,30000,0,16.0,FMA,Formulas,0.0,Aerial,"Milk, NFS","Beverage, 2 cups, glass measuring cup, Milk, NFS",PORTION
11111000,"Milk, cow's, fluid, whole",121807128.png,/home/lian/data/ASA24/Asa24PortionImages/121807128.png,1-1/2 cups,30000,0,12.0,FMA,Formulas,0.0,Aerial,"Milk, NFS","Beverage, 1 1/2 cups, glass measuring cup, Milk, NFS",PORTION
