FoodCodeCommon,FC_Description,Image,Link,Portion,PortionCode,PortionSubCode,Multiplier,PortionShot,LabelAmount,LabelUnit,GPTFoodCode,GPTFoodDescription
11000000,"Milk, human",042108425.png,/home/lian/data/ASA24/Asa24PortionImages/042108425.png,2 teaspoons,10205,0,0.417,"2 teaspoons ,6 tablespoons ,5 tablespoons ,4 tablespoons ,3 tablespoons ,2 tablespoons ,1 tablespoon ,1 teaspoon",2.0,teaspoons,,
12210260,"Cream substitute, fat free, liquid",041008415.png,/home/lian/data/ASA24/Asa24PortionImages/041008415.png,1 cup,10205,0,1.0,"1 cup ,1 individual container ,7/8 cup ,3/4 cup ,5/8 cup ,1/2 cup ,3/8 cup ,6 tablespoons ,5 tablespoons ,1/4 cup ,4 tablespoons ,3 tablespoons ,1/8 cup ,2 tablespoons ,1 tablespoon ,2 teaspoons ,1 teaspoon",1.0,cup,,
14120010,"Cheese, Mexican blend",081108426.png,/home/lian/data/ASA24/Asa24PortionImages/081108426.png,1 cup,10159,0,1.0,"1 cup ,7/8 cup ,3/4 cup ,5/8 cup ,1/2 cup ,3/8 cup ,1/4 cup ,1/8 cup",1.0,cup,,
24201520,"Turkey, light or dark meat, smoked, cooked, skin n",112211109.png,/home/lian/data/ASA24/Asa24PortionImages/112211109.png,16 ounces,40024,0,16.0,"16 ounces ,14 ounces ,12 ounces ,10 ounces ,8 ounces ,6 ounces ,4 ounces ,2 cups ,2 ounces ,1-3/4 cups ,1-1/2 cups ,1-1/4 cups ,1 cup ,3/4 cup ,1/2 cup ,1/4 cup",16.0,ounces,,
27141030,"Spaghetti sauce with poultry, home-made style",062408420.png,/home/lian/data/ASA24/Asa24PortionImages/062408420.png,1 cup,10205,0,1.0,"1 cup ,7/8 cup ,3/4 cup ,5/8 cup ,1/2 cup ,3/8 cup ,1/4 cup ,1/8 cup",1.0,cup,,
28310170,"Beef broth, without tomato, home recipe",081302204.png,/home/lian/data/ASA24/Asa24PortionImages/081302204.png,2 cups,10205,0,2.0,"2 cups ,1-1/2 cups ,1 cup ,1/2 cup",2.0,cups,,
41420300,Soy sauce,052008416.png,/home/lian/data/ASA24/Asa24PortionImages/052008416.png,1 packet,60876,0,1.0,1 packet,1.0,packet,,
51160100,"Roll, sweet, cinnamon bun, no frosting",100507205.png,/home/lian/data/ASA24/Asa24PortionImages/100507205.png,1 slice,51000,0,11.625,"1 slice ,3/4 slice ,1/2 slice ,1/4 slice ,1 roll ,3/4 roll ,1/2 piece ,1/4 roll",1.0,slice,,
52306700,"Muffin, carrot",080802426.png,/home/lian/data/ASA24/Asa24PortionImages/080802426.png,1 mini muffin,61467,0,1.0,"1 mini muffin ,1 muffin ,3/4 muffin ,1/2 muffin ,1/4 muffin",1.0,mini muffin,,
53381000,"Pie, lemon meringue",122311101.png,/home/lian/data/ASA24/Asa24PortionImages/122311101.png,1 piece,52000,0,12.57,"1 piece ,3/4 piece ,1/2 piece ,1/4 piece ,3 cups ,2-1/2 cups ,2 cups ,1-1/2 cups ,1 cup ,3/4 cup ,1/2 cup ,1/4 cup",1.0,piece,,
56205070,"Rice, sweet (rice, cooked, with honey)",091002165.png,/home/lian/data/ASA24/Asa24PortionImages/091002165.png,2 cups,10043,0,2.0,"2 cups ,1-1/2 cups ,1 cup ,3/4 cup ,1/2 cup ,1/4 cup",2.0,cups,,
58134613,"Tortellini, meat-filled, with tomato sauce, canned",050710125.png,/home/lian/data/ASA24/Asa24PortionImages/050710125.png,3 cups,10205,0,3.0,"3 cups ,2-1/2 cups ,2 cups ,1-1/2 cups ,1 cup ,3/4 cup ,1/2 cup ,1/4 cup",3.0,cups,,
62104100,"Apricot, dried, uncooked",072908118.png,/home/lian/data/ASA24/Asa24PortionImages/072908118.png,2 cups,10205,0,2.0,"2 cups ,1-3/4 cups ,1-1/2 cups ,1-1/4 cups ,1 cup ,3/4 cup ,1/2 cup ,1/4 cup",2.0,cups,,
71507005,"White potato, stuffed, baked, peel not eaten, stuf",121103141.png,/home/lian/data/ASA24/Asa24PortionImages/121103141.png,1 potato,60919,0,1.0,"1 potato ,3/4 potato ,1/2 potato ,1/4 potato",1.0,potato,,
74506000,"Tomato and cucumber salad made with tomato, cucumb",081302408.png,/home/lian/data/ASA24/Asa24PortionImages/081302408.png,2 cups,10205,0,2.0,"2 cups ,1-3/4 cups ,1-1/2 cups ,1-1/4 cups ,1 cup ,3/4 cup ,1/2 cup ,1/4 cup",2.0,cups,,
75214021,"Cauliflower, cooked, from fresh, fat added in cook",081302270.png,/home/lian/data/ASA24/Asa24PortionImages/081302270.png,1 floweret,60782,0,1.0,1 floweret,1.0,floweret,,
